date,title,amount
2026-03-04,Eronlemosxavier,20.25
2026-03-04,Bomprecomercadoe,28.00
2026-03-04,Ifd*Ferreira Alves e L,43.75
2026-03-04,Bar e Mercearia Harmon,8.00
2026-03-03,Bar e Mercearia Harmon,8.00
2026-03-03,Mp *Monacoconveni,5.00
2026-03-03,Ifd*David Santos Arauj,2.00
2026-03-02,iFood - NuPay,17.48
2026-03-02,Sup Mix Supermercado,25.45
2026-02-28,iFood - NuPay,66.98
2026-02-28,Pereira Atakarejo,7.38
2026-02-28,Beer Stop Distribuidor,7.00
2026-02-28,Sup Mix Supermercado,9.39
2026-02-27,Mercadinho G Amaral,19.25
2026-02-27,Mp *Ricardodospap,27.00
2026-02-27,Eronlemosxavier,14.00
2026-02-26,Sup Mix Supermercado,23.74
2026-02-26,Estacao do Pao,4.40
2026-02-26,Sup Mix Supermercado,3.00
2026-02-25,Estacao do Pao,13.80
2026-02-25,Eronlemosxavier,10.00
2026-02-25,Estacao do Pao,17.53
2026-02-24,Bar e Mercearia Harmon,7.00
2026-02-24,Frios Conquista,10.23
2026-02-21,Bar e Mercearia Harmon,6.00
2026-02-20,Gildasiosilveira,11.00
2026-02-20,Cmmescipioni,27.00
2026-02-19,iFood - NuPay,31.64
2026-02-15,Ivani dos Santos,30.00
2026-02-14,Sup Mix Supermercado,5.49
2026-02-14,Beer Stop Distribuidor,6.00
2026-02-14,Bomprecomercadoe,25.00
2026-02-14,Eronlemosxavier,21.00
2026-02-13,Eronlemosxavier,22.00
2026-02-12,iFood - NuPay,52.02
2026-02-12,Eronlemosxavier,4.00
2026-02-11,Eronlemosxavier,14.00
2026-02-11,Sup Mix Supermercado,12.38
2026-02-10,Justus,74.50
2026-02-09,Centauro Ce256 - Parcela 1/2,90.00
2026-02-08,Ifd*Ifood Club,5.95
2026-02-07,Conquista Frios,9.81
2026-02-07,Sup Mix Supermercado,6.99
2026-02-07,Cabral e Sousa,5.55
2026-02-07,Beer Stop Distribuidor,6.00
2026-02-07,Eronlemosxavier,11.00
2026-02-06,Pagamento recebido,-1221.02
2026-02-06,Bomprecomercadoe,28.00
2026-02-06,Bar e Mercearia Harmon,17.00
2026-02-06,Vagner Luiz Marinho da,5.00
2026-02-06,Sup Mix Supermercado,10.98
2026-02-06,Sup Mix Supermercado,18.97
2026-02-05,Cabral e Sousa,18.78
2026-02-05,Express - Parcela 5/6,83.33
2026-02-05,55.189.477 Gilmar Alme - Parcela 12/12,120.33
2026-02-05,Eronlemosxavier,5.00
