date,title,amount
2025-12-04,Eronlemosxavier,8.50
2025-12-04,Frios Conquista,15.59
2025-12-04,iFood - NuPay,54.98
2025-12-04,Lojao Pag,6.00
2025-12-04,Google Duolingo Langu,179.90
2025-12-03,Eronlemosxavier,7.50
2025-12-03,Pereira Atakarejo,25.44
2025-12-03,Lojas 10com,14.99
2025-12-03,Bar e Mercearia Harmon,4.75
2025-12-03,Cabral e Sousa,11.76
2025-12-03,Sup Mix Supermercado,11.99
2025-12-03,CONSELHO REGIONAL DE CONTABILIDADE DO ESTADO,14.01
2025-12-03,Sup Mix Supermercado,16.47
2025-12-02,Sup Mix Supermercado,10.98
2025-12-02,Mp *Leilapastel,12.00
2025-12-02,Eronlemosxavier,11.25
2025-12-01,Sup Mix Supermercado,42.54
2025-11-30,Eronlemosxavier,11.25
2025-11-30,Deposito dos Importado,42.00
2025-11-29,Mp *Leilapastel,18.00
2025-11-29,Sup Mix Supermercado,10.98
2025-11-29,Sup Mix Supermercado,16.47
2025-11-29,Eronlemosxavier,7.50
2025-11-29,Cristal Comercio de de,20.00
2025-11-29,Cabral e Sousa,28.98
2025-11-28,Eronlemosxavier,15.00
2025-11-27,Gildasiosilveira,11.70
2025-11-27,Eronlemosxavier,10.75
2025-11-27,Sup Mix Supermercado,6.99
2025-11-26,Mp *Leilapastel,12.00
2025-11-26,Bar e Mercearia Harmon,15.00
2025-11-26,Sup Mix Supermercado,14.61
2025-11-26,Sup Mix Supermercado,9.19
2025-11-25,Mineirao Atacarejo,11.18
2025-11-25,Cabral e Sousa,9.30
2025-11-25,Sup Mix Supermercado,5.49
2025-11-25,Bar e Mercearia Harmon,15.00
2025-11-24,Sup Mix Supermercado,45.22
2025-11-23,Hc Empreendimentos,15.00
2025-11-23,Panificadora,5.00
2025-11-23,Casarosada - Parcela 1/3,46.64
2025-11-22,Sup Mix Supermercado,10.98
2025-11-22,Eronlemosxavier,3.75
2025-11-21,Naghibi Paul,51.00
2025-11-20,Eronlemosxavier,7.50
2025-11-19,Vianamotos,20.00
2025-11-19,PEDRO PAULO SOUSA ALMEIDA,82.29
2025-11-19,Cabral e Sousa,9.18
2025-11-19,Mp *Binhomotos - Parcela 1/2,35.00
2025-11-19,Pereira Atakarejo,15.36
2025-11-18,Pereira Atakarejo,3.39
2025-11-18,Pereira Atakarejo,9.87
2025-11-18,Eronlemosxavier,11.25
2025-11-18,Vm Servicos de Beleza,80.00
2025-11-18,Sup Mix Supermercado,3.99
2025-11-17,iFood - NuPay,93.99
2025-11-15,Pereira Atakarejo,27.53
2025-11-15,Eronlemosxavier,7.50
2025-11-14,Sup Mix Supermercado,10.68
2025-11-14,Pereira Atakarejo,36.29
2025-11-13,Cabral e Sousa,6.75
2025-11-13,Mp *Leilapastel,27.00
2025-11-12,Amazonprimebr,9.95
2025-11-12,Gildasiosilveira,11.70
2025-11-11,iFood - NuPay,49.99
2025-11-10,Meu Chapa,72.27
2025-11-09,Sup Mix Supermercado,63.41
2025-11-08,Ifd*Ifood Club,5.95
2025-11-08,Sup Mix Supermercado,9.48
2025-11-08,Eronlemosxavier,13.00
2025-11-08,Bar e Mercearia Harmon,2.75
2025-11-08,Mp *Leilapastel,12.00
2025-11-07,Supermercado Central,9.78
2025-11-07,Eronlemosxavier,12.00
2025-11-06,Sup Mix Supermercado,18.88
2025-11-06,Eh Distribuidora de,6.00
2025-11-06,Pagamento recebido,-1599.13
2025-11-06,Mercadinho G Amaral,15.00
2025-11-06,Cabral e Sousa,6.02
2025-11-06,Nurenahadprates,24.00
2025-11-05,Cabral e Sousa,17.91
2025-11-05,Sup Mix Supermercado,4.69
2025-11-05,55.189.477 Gilmar Alme - Parcela 9/12,120.33
2025-11-05,Sympla *Salvador Produ - Parcela 4/6,18.33
2025-11-05,Express - Parcela 2/6,83.33
2025-11-05,Rafick Souza Teixeira - Parcela 2/2,25.00
2025-11-05,Eronlemosxavier,10.25
