date,title,amount
2026-03-24,Bomprecomercadoe,28.00
2026-03-23,Gbarbosa - Loja - G112,3.49
2026-03-23,Pereira Atakarejo,32.14
2026-03-23,Pereira Atakarejo,6.88
2026-03-23,Atakadao Atakarejo,15.91
2026-03-23,Mp *Brasaefrango,82.00
2026-03-22,Bar e Mercearia Harmon,14.00
2026-03-22,Supermercado Central,31.31
2026-03-22,Ifd*49.598.473 Fellipe,62.78
2026-03-21,Pereira Atakarejo,14.28
2026-03-21,Sup Mix Supermercado,7.98
2026-03-21,Sup Mix Supermercado,7.98
2026-03-21,Beer Stop,5.00
2026-03-21,Bar e Mercearia Harmon,3.00
2026-03-21,Eronlemosxavier,4.00
2026-03-20,Cabral e Sousa,2.76
2026-03-20,Eronlemosxavier,14.00
2026-03-19,Gildasiosilveira,10.00
2026-03-19,Mp *Uaramaltacair,23.00
2026-03-19,Bar e Mercearia Harmon,11.00
2026-03-19,Eronlemosxavier,6.00
2026-03-18,Eronlemosxavier,15.00
2026-03-18,Bar e Mercearia Harmon,6.00
2026-03-17,Eronlemosxavier,21.00
2026-03-17,Pereira Atakarejo,4.59
2026-03-17,Posto Filipinas,30.00
2026-03-16,Mp *53872085arest,14.50
2026-03-15,Acougue Boi Gordo,12.48
2026-03-15,Trileirus,80.63
2026-03-15,Distribuidorade,6.00
2026-03-15,Padoca No Campo,22.00
2026-03-15,Bar e Lanchonete Manga,5.00
2026-03-15,Mini Mercado Dutra,9.18
2026-03-14,Sup Mix Supermercado,9.38
2026-03-14,Estacao do Pao Delica,8.35
2026-03-14,Mine Mercado Dom Chico,62.75
2026-03-14,Eronlemosxavier,13.00
2026-03-13,Eronlemosxavier,6.00
2026-03-13,Sup Mix Supermercado,8.18
2026-03-13,Cabral e Sousa,4.24
2026-03-13,Eronlemosxavier,12.00
2026-03-13,Beer Stop Distribuidor,7.00
2026-03-12,Mercadolivre*Mercadol - Parcela 1/12,33.79
2026-03-12,Sup Mix Supermercado,3.99
2026-03-12,Supermercado Central,64.22
2026-03-12,Eronlemosxavier,17.00
2026-03-11,Bar e Mercearia Harmon,10.00
2026-03-11,Eronlemosxavier,5.00
2026-03-11,Rebeca Oliveira Silva,13.50
2026-03-10,Bar e Mercearia Harmon,12.00
2026-03-10,Bar e Mercearia Harmon,5.00
2026-03-10,Dl*99 Ride,3.00
2026-03-09,Estacao do Pao Delica,6.99
2026-03-09,Pereira Atakarejo,9.98
2026-03-09,Sidicleisantos,82.00
2026-03-08,Ifd*Ifood Club,5.95
2026-03-08,Sup Mix Supermercado,14.97
2026-03-08,Sup Mix Supermercado,10.98
2026-03-08,Petshop Z,17.11
2026-03-08,Bar e Mercearia Harmon,17.00
2026-03-07,Pagamento recebido,-1183.35
2026-03-07,Bomprecomercadoe,28.00
2026-03-07,Pereira Atakarejo,9.18
2026-03-06,Pereira Atakarejo,24.32
2026-03-06,Farmacia Indiana 251 J,25.08
2026-03-06,Gildasiosilveira,12.00
2026-03-06,Eronlemosxavier,4.00
2026-03-05,Beer Stop Distribuidor,2.00
2026-03-05,Sup Mix Supermercado,10.98
2026-03-05,Centauro Ce256 - Parcela 2/2,89.99
2026-03-05,Express - Parcela 6/6,83.33
2026-03-05,Eronlemosxavier,12.00
2026-03-05,Vm Servicos de Beleza,47.00
