date,title,amount
2025-06-01,Amazon Servicos de Var,19.90
2025-05-28,Dl *99 Ride,7.55
2025-05-28,Dl*99 Ride,7.60
2025-05-28,Dl*99 Ride,7.10
2025-05-27,Pg *99 Ride,7.40
2025-05-27,Dl*99 Ride,6.80
2025-05-27,Gran Centro Universita,109.89
2025-05-24,Dm*Udemy,28.90
2025-05-19,99app *99app,8.90
2025-05-14,iFood - NuPay,50.99
2025-05-09,iFood - NuPay,81.57
2025-05-08,Ifd*Ifood Club,5.95
2025-05-08,Pagamento recebido,-644.14
2025-05-08,Bar e Mercearia Harmon,14.00
2025-05-08,Sup Mix Supermercado,16.20
2025-05-08,Cabral e Sousa,4.49
2025-05-07,Bar e Mercearia Harmon,6.50
2025-05-07,Sup Nova Economia,19.74
2025-05-06,Cabral e Sousa,10.37
2025-05-05,55.189.477 Gilmar Alme - Parcela 3/12,120.33
