date,title,amount
2025-09-04,Cabral e Sousa,2.18
2025-09-04,Leilapastel,18.00
2025-09-04,Eronlemosxavier,15.00
2025-09-03,Bar e Mercearia Harmon,9.25
2025-09-02,Bar e Mercearia Harmon,7.50
2025-09-02,Gildasiosilveira,11.00
2025-09-01,Economart,190.30
2025-08-31,Vcgardencomercio - Parcela 1/2,65.00
2025-08-31,Sup Mix Supermercado,27.96
2025-08-31,Eronlemosxavier,11.25
2025-08-31,Gildasiosilveira,11.00
2025-08-31,Pereira Atakarejo,17.96
2025-08-30,Bar e Mercearia Harmon,18.75
2025-08-30,Pereira Atakarejo,3.99
2025-08-30,Mp *Redesushi,6.00
2025-08-29,Dl*99 Ride,10.20
2025-08-29,Pg *99 Ride,9.20
2025-08-29,Gran Centro Universita,109.89
2025-08-29,Pereira Atakarejo,2.99
2025-08-29,Mp *Leilapastel,18.00
2025-08-29,Supermercado Jurema,26.33
2025-08-29,Bar e Mercearia Harmon,3.75
2025-08-29,Bar e Mercearia Harmon,3.75
2025-08-29,Opcaomotos,33.00
2025-08-29,Bar e Mercearia Harmon,7.50
2025-08-28,Sup Mix Supermercado,10.68
2025-08-28,Bar e Mercearia Harmon,11.25
2025-08-28,Leilapastel,15.00
2025-08-28,Auto Posto Boa Vista,20.00
2025-08-28,Sup Mix Supermercado,1.50
2025-08-28,Cabral e Sousa,13.55
2025-08-28,Gildasiosilveira,10.80
2025-08-27,Pereira Atakarejo,52.90
2025-08-25,Dl*99 Ride,16.30
2025-08-25,Mjservice,20.00
2025-08-24,Bar e Mercearia Harmon,3.75
2025-08-24,Pg *99 Ride,3.00
2025-08-24,Sup Mix Supermercado,45.63
2025-08-24,M Motos,8.00
2025-08-24,50764088mychaell,10.00
2025-08-24,Pg *99 Ride,14.60
2025-08-24,Sympla *Salvador Produ - Parcela 1/6,18.35
2025-08-23,Auto Posto Navegantes,6.50
2025-08-23,Sup Mix Supermercado,30.25
2025-08-23,Pereira Atakarejo,10.29
2025-08-23,Sup Mix Supermercado,12.37
2025-08-23,Bom Preco Mercado e Ho,25.00
2025-08-22,Pereira Atakarejo,24.99
2025-08-21,Sup Mix Supermercado,29.56
2025-08-20,Farmacia Central,20.00
2025-08-20,Pereira Atakarejo,5.38
2025-08-20,Cabral e Sousa,6.39
2025-08-18,Conveniencia Mr,13.00
2025-08-14,iFood - NuPay,50.98
2025-08-12,Dl*99 Ride,8.30
2025-08-12,Dl *99 Ride,6.70
2025-08-10,"IOF de ""Steamgames.Com""",1.82
2025-08-10,Steamgames.Com,52.02
2025-08-09,iFood - NuPay,67.97
2025-08-08,Ifd*Ifood Club,5.95
2025-08-07,Pereira Atakarejo,6.58
2025-08-06,Pagamento recebido,-1186.69
2025-08-05,Pereira Atakarejo,26.36
2025-08-05,Pag*Steam - Parcela 2/3,15.99
2025-08-05,55.189.477 Gilmar Alme - Parcela 6/12,120.33
2025-08-05,Hna*O Boticario - Parcela 3/3,76.63
2025-08-05,Marlonribeirode - Parcela 3/3,83.33
