date,title,amount
2026-02-04,Sup Mix Supermercado,21.97
2026-02-04,Pereira Atakarejo,5.60
2026-02-04,Estacao do Pao,7.32
2026-02-04,Bar e Mercearia Harmon,13.00
2026-02-04,Eronlemosxavier,6.00
2026-02-03,Bar e Mercearia Harmon,6.00
2026-02-02,Adyla Brasil Alves Cabral,15.21
2026-02-02,Sup Mix Supermercado,50.41
2026-02-02,Sup Mix Supermercado,7.99
2026-02-01,Dl*Google Youtub,11.90
2026-02-01,Sup Mix Supermercado,60.95
2026-02-01,Eronlemosxavier,10.00
2026-02-01,Sup Mix Supermercado,22.96
2026-01-31,Sup Mix Supermercado,5.98
2026-01-31,Bar e Mercearia Harmon,11.00
2026-01-31,Bar e Mercearia Harmon,24.00
2026-01-31,Beer Stop Distribuidor,13.00
2026-01-30,Sup Mix Supermercado,6.49
2026-01-30,iFood - NuPay,54.98
2026-01-30,Bar e Mercearia Harmon,4.00
2026-01-30,Bar e Mercearia Harmon,13.00
2026-01-30,Beer Stop Distribuidor,6.00
2026-01-29,Bar e Mercearia Harmon,6.00
2026-01-29,Eronlemosxavier,12.00
2026-01-29,Frios Conquista,14.12
2026-01-29,Sup Mix Supermercado,4.99
2026-01-29,Beer Stop Distribuidor,6.00
2026-01-28,Eronlemosxavier,9.00
2026-01-28,Sup Mix Supermercado,6.19
2026-01-27,Posto V8,30.00
2026-01-26,Sup Mix Supermercado,34.24
2026-01-25,Bar e Mercearia Harmon,21.00
2026-01-24,Mercadinho G Amaral,10.00
2026-01-24,Pagamento recebido,-300.00
2026-01-24,Eronlemosxavier,22.00
2026-01-23,iFood - NuPay,164.89
2026-01-23,Pgz*Caiquepen,35.00
2026-01-23,Estacao do Pao,34.92
2026-01-23,Eronlemosxavier,16.00
2026-01-23,Sup Mix Supermercado,39.17
2026-01-22,Beer Stop Distribuidor,6.00
2026-01-22,Sup Mix Supermercado,5.49
2026-01-22,Gildasiosilveira,10.00
2026-01-22,Conveniencia Mr,6.50
2026-01-22,Agromax,10.00
2026-01-21,Eronlemosxavier,12.00
2026-01-20,Eronlemosxavier,20.00
2026-01-17,Bar e Mercearia Harmon,9.00
2026-01-16,Mercadinho G Amaral,25.50
2026-01-15,Sup Mix Supermercado,9.98
2026-01-13,Sup Mix Supermercado,8.48
2026-01-12,DENISY BRITO DOS SANTOS CABRAL DE SOUZA ,14.59
2026-01-12,Encerramento de dívida,0.00
2026-01-12,Juros de dívida encerrada,0.00
2026-01-12,CIDADE PRESTACAO DE SERVICOS POSTAIS,2.09
2026-01-11,Sup Mix Supermercado,5.49
2026-01-10,Conveniencia Aguia,23.97
2026-01-09,Sup Mix Supermercado,4.99
2026-01-08,Ifood Club,5.95
2026-01-08,Mercadinho G Amaral,15.50
2026-01-08,Pereira Atakarejo,10.78
2026-01-08,Nurenahadprates,27.00
2026-01-07,Irisnei Sousa,5.00
2026-01-07,Pagamento recebido,-599.70
2026-01-07,Sabores da Terra Resta,20.00
2026-01-07,Sup Mix Supermercado,21.47
2026-01-07,Supermercados Nu,12.49
2026-01-07,"Estorno de ""Mercadolivre*Loja""",-35.38
2026-01-06,Sup Mix Supermercado,12.66
2026-01-06,Gmad Vitoria da Conqui,14.00
2026-01-06,Eronlemosxavier,5.00
2026-01-06,Bar e Mercearia Harmon,6.00
2026-01-05,Mercadolivre*Aletroni - Parcela 2/2,13.29
2026-01-05,Sup Mix Supermercado,10.98
2026-01-05,Express - Parcela 4/6,83.33
2026-01-05,Casarosada - Parcela 3/3,46.63
2026-01-05,55.189.477 Gilmar Alme - Parcela 11/12,120.33
2026-01-05,Sympla *Salvador Produ - Parcela 6/6,18.33
2026-01-05,Sup Mix Supermercado,37.22
2026-01-05,Mercadolivre*Loja - Parcela 2/2,17.69
