date,title,amount
2025-10-04,Brinquedos Thais,20.00
2025-10-04,Mp *Leilapastel,18.00
2025-10-04,Pereira Atakarejo,11.67
2025-10-04,Bar e Mercearia Harmon,11.25
2025-10-04,Sup Mix Supermercado,27.79
2025-10-03,Drogaria Sao Paulo,64.99
2025-10-03,Cabral e Sousa,7.50
2025-10-03,Pereira Atakarejo,8.08
2025-10-03,Cabral e Sousa,6.75
2025-10-03,Mercadinho G Amaral,12.50
2025-10-03,Bar e Mercearia Harmon,3.75
2025-10-03,Cmmescipioni,24.00
2025-10-02,Gildasiosilveira,12.00
2025-10-02,Conveniencia Mr,7.00
2025-10-01,Bar e Mercearia Harmon,5.50
2025-10-01,Pereira Atakarejo,7.78
2025-09-30,Conveniencia Aguia,14.25
2025-09-30,Eronlemosxavier,11.25
2025-09-30,Pereira Atakarejo,15.57
2025-09-30,Eronlemosxavier,3.75
2025-09-30,Sup Mix Supermercado,5.49
2025-09-28,Conveniencia Mr,13.00
2025-09-28,Sup Mix Supermercado,14.98
2025-09-28,Sup Mix Supermercado,19.47
2025-09-27,iFood - NuPay,89.98
2025-09-27,Sup Mix Supermercado,18.57
2025-09-27,Sup Mix Supermercado,18.57
2025-09-26,Mp *Leilapastel,12.00
2025-09-26,Cmmescipioni,24.00
2025-09-26,Vm Servicos de Beleza,48.00
2025-09-26,iFood - NuPay,58.05
2025-09-26,iFood - NuPay,16.74
2025-09-26,Eronlemosxavier,11.25
2025-09-26,Sup Nova Economia,12.81
2025-09-26,Sup Mix Supermercado,32.02
2025-09-25,Bar e Mercearia Harmon,11.25
2025-09-25,Sup Mix Supermercado,1.50
2025-09-25,Posto Filipinas,20.00
2025-09-25,Sup Mix Supermercado,3.99
2025-09-24,Sup Mix Supermercado,6.19
2025-09-24,Gildasiosilveira,12.00
2025-09-23,Pereira Atakarejo,4.20
2025-09-21,Eronlemosxavier,15.00
2025-09-21,Sup Mix Supermercado,46.24
2025-09-21,Pereira Atakarejo,15.58
2025-09-19,Pag*Steam,21.00
2025-09-19,iFood - NuPay,54.98
2025-09-19,Eronlemosxavier,15.00
2025-09-18,Sup Mix Supermercado,6.19
2025-09-18,Mp *Leilapastel,18.00
2025-09-18,Pereira Atakarejo,14.28
2025-09-17,Cabral e Sousa,3.64
2025-09-15,iFood - NuPay,52.98
2025-09-14,Sup Mix Supermercado,50.72
2025-09-13,Sup Mix Supermercado,8.18
2025-09-13,Gildasiosilveira,7.00
2025-09-13,Sup Mix Supermercado,11.28
2025-09-13,Eronlemosxavier,11.25
2025-09-12,Sup Mix Supermercado,7.69
2025-09-12,Pereira Atakarejo,10.48
2025-09-12,286mateus Supermercado,28.56
2025-09-11,Vagner Luiz Marinho da,6.50
2025-09-11,Sup Mix Supermercado,5.49
2025-09-11,Pereira Atakarejo,23.48
2025-09-11,Cabral e Sousa,2.74
2025-09-11,Eronlemosxavier,7.50
2025-09-10,Sup Mix Supermercado,6.19
2025-09-10,Pereira Atakarejo,15.47
2025-09-10,Eronlemosxavier,9.25
2025-09-10,Mp *Leilapastel,12.00
2025-09-09,Frios Conquista,19.00
2025-09-09,Sup Mix Supermercado,28.01
2025-09-08,Bar e Mercearia Harmon,9.25
2025-09-08,Ifd*Ifood Club,5.95
2025-09-06,Eronlemosxavier,3.75
2025-09-05,Pag*Steam - Parcela 3/3,15.99
2025-09-05,Pereira Atakarejo,10.29
2025-09-05,55.189.477 Gilmar Alme - Parcela 7/12,120.33
2025-09-05,Bom Preco Mercado e Ho,25.00
2025-09-05,Pagamento recebido,-1621.75
2025-09-05,Eronlemosxavier,15.00
2025-09-05,Sympla *Salvador Produ - Parcela 2/6,18.33
2025-09-05,Vcgardencomercio - Parcela 2/2,65.00
2025-09-05,Eronlemosxavier,3.75
