date,title,amount
2026-01-03,Eronlemosxavier,5.00
2026-01-03,Sup Mix Supermercado,38.64
2026-01-03,Bar e Mercearia Harmon,8.00
2026-01-03,Pereira Atakarejo,17.16
2026-01-03,Mp *Redesushi,4.00
2026-01-01,Bar e Mercearia Harmon,18.50
2025-12-31,Churrascaria Abilhus,21.00
2025-12-31,Bar e Mercearia Harmon,5.00
2025-12-31,Pereira Atakarejo,4.29
2025-12-30,Sup Mix Supermercado,6.18
2025-12-30,Bar e Mercearia Harmon,5.00
2025-12-30,Eronlemosxavier,7.00
2025-12-29,Pereira Atakarejo,13.07
2025-12-27,Bar e Mercearia Harmon,13.00
2025-12-27,Jim.Com* Ba Du Vei,58.00
2025-12-26,Posto V8,12.00
2025-12-25,Sup Mix Supermercado,36.24
2025-12-24,Bar e Mercearia Harmon,6.00
2025-12-24,Sup Mix Supermercado,7.49
2025-12-24,Pereira Atakarejo,5.38
2025-12-24,Bomprecomercadoe,22.00
2025-12-23,Cabral e Sousa,9.33
2025-12-23,Pereira Atakarejo,11.14
2025-12-23,Sup Mix Supermercado,7.98
2025-12-22,Pereira Atakarejo,29.41
2025-12-22,Conveniencia Aguia,13.99
2025-12-21,Sup Mix Supermercado,37.23
2025-12-21,iFood - NuPay,54.98
2025-12-20,Gs Chocolaterias,4.98
2025-12-20,Sup Mix Supermercado,23.46
2025-12-20,Gs Chocolaterias,27.52
2025-12-19,Gildasiosilveira,13.00
2025-12-19,Eronlemosxavier,20.00
2025-12-19,Claro,30.76
2025-12-19,Claro,31.40
2025-12-19,Leilasilvapires,6.00
2025-12-18,Bar e Mercearia Harmon,12.00
2025-12-17,Eronlemosxavier,16.00
2025-12-17,Auto Posto Navegantes,30.00
2025-12-17,Sup Mix Supermercado,24.40
2025-12-17,Cabral e Sousa,11.76
2025-12-17,Pagamento recebido,-1098.00
2025-12-16,Mercadolivre*Aletroni - Parcela 1/2,13.29
2025-12-16,Eronlemosxavier,8.00
2025-12-16,Pereira Atakarejo,12.49
2025-12-15,Sup Mix Supermercado,34.44
2025-12-15,Mercadolivre*Loja - Parcela 1/2,17.69
2025-12-14,Eronlemosxavier,16.00
2025-12-13,Eronlemosxavier,8.00
2025-12-12,Mp *Leilapastel,12.00
2025-12-12,Mercadinho G Amaral,6.00
2025-12-12,Cmmescipioni,24.00
2025-12-12,Eronlemosxavier,11.00
2025-12-11,Sup Mix Supermercado,5.49
2025-12-10,Eronlemosxavier,9.00
2025-12-10,Sup Mix Supermercado,37.46
2025-12-10,Mercadinho G Amaral,5.50
2025-12-10,Gildasiosilveira,14.00
2025-12-10,Cmmescipioni,24.00
2025-12-09,99app *99app,6.70
2025-12-09,Eronlemosxavier,3.00
2025-12-09,99app *99app,8.50
2025-12-09,Bar e Mercearia Harmon,10.00
2025-12-09,Sup Mix Supermercado,6.19
2025-12-08,Pereira Atakarejo,18.95
2025-12-08,Sup Mix Supermercado,17.46
2025-12-08,iFood - NuPay,50.58
2025-12-08,Bomprecomercadoe,61.89
2025-12-08,Ifood Club,5.95
2025-12-07,Farmacia Indiana 251 J,43.04
2025-12-07,Farmacia Indiana 251 J,19.90
2025-12-07,Eronlemosxavier,10.00
2025-12-06,Sup Mix Supermercado,10.98
2025-12-06,Posto V8,30.00
2025-12-06,Eronlemosxavier,20.00
2025-12-06,Posto V8,72.67
2025-12-06,Nurenahadprates,24.00
2025-12-05,Eronlemosxavier,15.00
2025-12-05,Mp *Binhomotos - Parcela 2/2,35.00
2025-12-05,Cabral e Sousa,7.99
2025-12-05,Express - Parcela 3/6,83.33
2025-12-05,55.189.477 Gilmar Alme - Parcela 10/12,120.33
2025-12-05,Pagamento recebido,-2027.23
2025-12-05,Sympla *Salvador Produ - Parcela 5/6,18.33
2025-12-05,Casarosada - Parcela 2/3,46.63
