date,title,amount
2025-02-04,Pagamento recebido,-700.00
2025-01-29,Ifood *Ifood,51.99
2025-01-28,99app *99app,4.90
2025-01-28,99app *99app,5.50
2025-01-28,99app *99app,4.60
2025-01-25,99app *99app,4.95
2025-01-25,99app *99app,6.00
2025-01-24,Gran Centro Universita,109.89
2025-01-23,99app *99app,4.90
2025-01-23,99app *99app,4.80
2025-01-23,99app *99app,4.80
2025-01-23,99app *99app,5.80
2025-01-23,99app *99app,4.90
2025-01-22,99app *99app,4.90
2025-01-21,99app *99app,4.90
2025-01-21,99app *99app,4.75
2025-01-20,Ifd*Restaurante Brasa,30.37
2025-01-20,99app *99app,14.00
2025-01-20,99app *99app,6.50
2025-01-19,Ifood *Ifood,47.99
2025-01-18,99app *99app,4.90
2025-01-18,99app *99app,4.90
2025-01-17,99app *99app,4.90
2025-01-16,99app *99app,4.90
2025-01-16,99app *99app,11.80
2025-01-15,99app *99app,5.50
2025-01-15,99app *99app,4.90
2025-01-15,99app *99app,4.90
2025-01-14,99app *99app,11.04
2025-01-14,99app *99app,11.10
2025-01-14,99app *99app,14.10
2025-01-12,Pereira Atakarejo,28.32
2025-01-12,Ifood *Ifood,47.99
2025-01-12,Pereira Atakarejo,44.59
2025-01-11,99app *99app,4.80
2025-01-11,99app *99app,4.90
2025-01-10,99app *99app,7.60
2025-01-10,99app *99app,12.60
2025-01-09,Eronlemosxavier,7.00
2025-01-09,99app *99app,4.90
2025-01-09,99app *99app,5.10
2025-01-09,99app *99app,4.80
2025-01-08,Ifd*Ifood Club,5.95
2025-01-08,99app *99app,4.80
2025-01-08,99app *99app,5.70
2025-01-07,99app *99app,4.80
2025-01-07,Jonathanoliveira,48.00
2025-01-07,Conveniencia Aguia,12.00
2025-01-07,Conveniencia Mr,6.50
2025-01-07,Supermercado Novo Vis,4.85
2025-01-06,Pereira Atakarejo,118.50
2025-01-06,Sup Mix Supermercado,9.38
