date,title,amount
2025-11-04,Mp *Leilapastel,12.00
2025-11-04,ANTONIO ELIAS OLIVEIRA DE SOUSA,60.72
2025-11-04,Sup Mix Supermercado,5.79
2025-11-04,Bar e Mercearia Harmon,11.25
2025-11-03,Pereira Atakarejo,42.42
2025-11-02,Dl*99 Ride,7.30
2025-11-02,Dl *99 Ride,5.70
2025-11-02,Posto Siqueira,33.00
2025-11-02,Eronlemosxavier,7.50
2025-11-02,Rafick Souza Teixeira - Parcela 1/2,25.00
2025-11-01,Super Mix Supermercado,5.79
2025-11-01,Eronlemosxavier,15.00
2025-10-31,Eronlemosxavier,11.25
2025-10-31,Eronlemosxavier,3.75
2025-10-31,Sup Mix Supermercado,31.54
2025-10-30,Gran Centro Universita,109.89
2025-10-30,Sup Mix Supermercado,3.99
2025-10-30,Pereira Atakarejo,12.28
2025-10-30,Bar e Mercearia Harmon,3.75
2025-10-29,Bar e Mercearia Harmon,11.25
2025-10-29,Sup Mix Supermercado,18.28
2025-10-28,Bar e Mercearia Harmon,3.75
2025-10-28,Eronlemosxavier,7.50
2025-10-27,Sup Mix Supermercado,19.47
2025-10-26,Subway,61.00
2025-10-26,Bar e Mercearia Harmon,9.50
2025-10-26,Supermercado Santo,11.58
2025-10-25,Sup Mix Supermercado,5.49
2025-10-25,Bar e Mercearia Harmon,3.75
2025-10-25,Sup Mix Supermercado,13.88
2025-10-25,Sup Mix Supermercado,12.38
2025-10-25,Mp *Leilapastel,12.00
2025-10-24,Nurenahadprates,24.00
2025-10-24,Mercadinho G Amaral,7.00
2025-10-24,Cabral e Sousa,2.89
2025-10-24,Gildasiosilveira,12.00
2025-10-24,Eronlemosxavier,7.50
2025-10-23,Eronlemosxavier,11.25
2025-10-23,Gildasiosilveira,11.00
2025-10-23,Eronlemosxavier,3.75
2025-10-23,Posto Filipinas,30.00
2025-10-22,Sup Mix Supermercado,20.87
2025-10-20,Farmacia Ultra Econom,36.99
2025-10-19,Pereira Atakarejo,3.89
2025-10-19,Vagner Luiz Marinho da,6.50
2025-10-19,Beer Stop,7.00
2025-10-17,Mp *Leilapastel,12.00
2025-10-17,Cabral e Sousa,8.60
2025-10-17,Pereira Atakarejo,26.83
2025-10-17,Sup Mix Supermercado,27.38
2025-10-16,Sup Mix Supermercado,7.69
2025-10-16,Bar e Mercearia Harmon,15.00
2025-10-16,Eronlemosxavier,15.00
2025-10-16,Super Mix Supermercado,19.14
2025-10-15,Conveniencia Mr,6.50
2025-10-15,Sup Mix Supermercado,4.99
2025-10-14,Pereira Atakarejo,23.86
2025-10-14,Sup Mix Supermercado,5.29
2025-10-14,Express - Parcela 1/6,83.35
2025-10-14,Mineirao Atacarejo,25.40
2025-10-14,Eronlemosxavier,8.50
2025-10-14,Vagner Luiz Marinho da,6.50
2025-10-12,Eronlemosxavier,10.50
2025-10-11,Sup Mix Supermercado,25.36
2025-10-11,Gildasiosilveira,13.00
2025-10-11,Pereira Atakarejo,26.28
2025-10-11,Eronlemosxavier,3.75
2025-10-11,Eronlemosxavier,11.25
2025-10-11,Pereira Atakarejo,3.29
2025-10-11,Cabral e Sousa,10.99
2025-10-11,Sup Mix Supermercado,21.97
2025-10-10,Sup Mix Supermercado,12.38
2025-10-10,Super Mix Supermercado,5.99
2025-10-10,Sup Mix Supermercado,15.97
2025-10-09,Sup Mix Supermercado,12.58
2025-10-08,Sup Mix Supermercado,12.38
2025-10-08,Ifd*Ifood Club,5.95
2025-10-07,Eronlemosxavier,7.50
2025-10-07,Sup Mix Supermercado,5.19
2025-10-07,Sup Mix Supermercado,17.45
2025-10-06,Sup Mix Supermercado,29.94
2025-10-06,Pagamento recebido,-1573.76
2025-10-05,Gran Centro Universita,112.35
2025-10-05,55.189.477 Gilmar Alme - Parcela 8/12,120.33
2025-10-05,Sympla *Salvador Produ - Parcela 3/6,18.33
2025-10-05,Pereira Atakarejo,17.97
