date,title,amount
2025-05-03,Conveniencia Aguia,6.99
2025-05-03,Sup Mix Supermercado,45.23
2025-05-01,Eronlemosxavier,13.25
2025-05-01,Amazon Servicos de Var,19.90
2025-04-29,Bar e Mercearia Harmon,7.50
2025-04-27,Bar e Mercearia Harmon,14.75
2025-04-27,Hcb Embalagens e Tabac,24.00
2025-04-26,iFood - NuPay,52.99
2025-04-25,Gran Centro Universita,109.89
2025-04-19,Sup Mix Supermercado,41.76
2025-04-16,Cabral e Sousa,5.24
2025-04-14,Caspizza,87.99
2025-04-11,iFood - NuPay,50.99
"2025-04-10,""Estorno de """"Asa*Iot Conect Solucoe"""""",-15.00"
2025-04-08,Ifd*Ifood Club,5.95
2025-04-06,Pao de Acucar,10.70
2025-04-05,55.189.477 Gilmar Alme - Parcela 2/12,120.33
2025-04-05,Pereira Atakarejo,30.93
2025-04-05,Joaomarcossouza,7.00
2025-04-05,Bar e Mercearia Harmon,3.75
2025-04-05,Pagamento recebido,-713.89
