date,title,amount
2025-03-04,Pereira Atakarejo,53.05
2025-03-03,Ifd*Comercio de Alimen,84.91
2025-03-03,Sup Mix Supermercado,36.21
2025-03-01,Sup Mix Supermercado,26.96
2025-03-01,Gildasiosilveira,7.00
2025-03-01,Eronlemosxavier,5.75
2025-03-01,Pagamento recebido,-984.52
2025-03-01,Asa*Iot Conect Solucoe,15.00
2025-02-28,Super Mix Supermercado,9.28
2025-02-27,Super Mix Supermercado,11.78
2025-02-27,Cabral e Sousa,8.85
2025-02-27,Bar e Mercearia Harmon,3.75
2025-02-27,Bar e Mercearia Harmon,7.50
2025-02-26,Eronlemosxavier,2.00
2025-02-26,Bar e Mercearia Harmon,4.75
2025-02-25,Gran Centro Universita,109.89
2025-02-25,Bar e Mercearia Harmon,3.75
2025-02-24,Sup Mix Supermercado,57.88
2025-02-24,Sup Mix Supermercado,10.16
2025-02-23,Blancos,207.00
2025-02-22,Jailsonalmeida,20.00
2025-02-22,Eronlemosxavier,14.00
2025-02-22,Sup Mix Supermercado,14.37
2025-02-21,Bar e Mercearia Harmon,3.75
2025-02-21,Ifood *Ifood,16.03
2025-02-21,Vianapetshop,32.00
2025-02-21,Cabral e Sousa,6.87
2025-02-20,Eronlemosxavier,3.50
2025-02-20,Joaomarcossouza,28.00
2025-02-19,Sup Mix Supermercado,8.99
2025-02-19,Central Pet,38.00
2025-02-18,99app *99app,8.90
2025-02-18,Gildasiosilveira,12.50
2025-02-17,Bar e Mercearia Harmon,7.50
2025-02-16,Pereira Atakarejo,60.28
2025-02-16,Sup Mix Supermercado,6.99
2025-02-16,Pereira Atakarejo,39.13
2025-02-12,Pao de Acucar,7.02
2025-02-11,Sup Mix Supermercado,3.79
2025-02-11,Sup Mix Supermercado,1.00
2025-02-11,Abilhu'S Churrascaria,26.00
2025-02-09,Sup Mix Supermercado,8.37
2025-02-09,Bar e Mercearia Harmon,3.75
2025-02-09,Pagamento recebido,-107.56
2025-02-08,Gildasiosilveira,7.00
2025-02-08,99app *99app,4.80
2025-02-08,Sup Mix Supermercado,4.99
2025-02-08,Sup Mix Supermercado,4.99
2025-02-08,Pereira Atakarejo,22.95
2025-02-08,Drogaria Sao Paulo,21.18
2025-02-08,Ifd*Ifood Club,5.95
2025-02-07,Sup Mix Supermercado,9.99
2025-02-05,Pereira Atakarejo,40.63
